ANO;ESTADO;REFINARIA;MATÉRIA PRIMA;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
2006;PARANÁ;REPAR;PETRÓLEO IMPORTADO;m3;255208;263635;333454;299708;283101;248164;185962;267869;356953;349111;315526;238331;3397022
2006;SÃO PAULO;REVAP;PETRÓLEO IMPORTADO;m3;147167;177924;109787;109635;90099;121071;137914;83824;190946;352450;217828;202300;1940945
2006;RIO GRANDE DO NORTE;RPCC;PETRÓLEO IMPORTADO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2006;PERNAMBUCO;RNEST;PETRÓLEO IMPORTADO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2006;RIO DE JANEIRO;MANGUINHOS;PETRÓLEO IMPORTADO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2006;RIO GRANDE DO SUL;RIOGRANDENSE;PETRÓLEO IMPORTADO;m3;45316;48234;62120;58582;40111;0;0;0;0;31936;56560;72499;415358
2006;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;m3;2678,792;1671,458;1342,186;1492,633;2683,743;2985,887;1313,604;22,05;384,371;550,131;2548,298;529,505;18202,658
2006;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2006;SÃO PAULO;RPBC;OUTRAS CARGAS;m3;1031;2149;4097;1806;2999;19239;7231;8554;2234;2342;3109;6961;61752
2006;BAHIA;RLAM;OUTRAS CARGAS ;m3;17993;27860;32404;27963;18399;29001;39071;20665;26995;24787;53435;38718;357291
2006;RIO DE JANEIRO;REDUC;OUTRAS CARGAS ;m3;42169;21054;27292;30866;23211;12864;33023;26777;36057;35730;45375;53368;387786
2006;MINAS GERAIS;REGAP;OUTRAS CARGAS ;m3;3716;17701;17417;12227;9708;14265;5903;4238;12254;11278;29540;12131;150378
2006;RIO GRANDE DO SUL;REFAP;OUTRAS CARGAS ;m3;2888;18215;4000;6823;41014;26519;22143;18774;14427;7232;5191;3361;170587
2006;CEARÁ;LUBNOR;OUTRAS CARGAS ;m3;135;53;127;0;0;357;94;186;82;6;0;882;1922
2006;SÃO PAULO;REPLAN;OUTRAS CARGAS ;m3;39116;33385;57642;5724;27989;46671;122612;33206;19728;56173;36079;63341;541666
2006;AMAZONAS;REMAN;OUTRAS CARGAS ;m3;10950;6908;1649;616;0;0;334;4247;1328;1514;0;0;27546
2006;SÃO PAULO;RECAP;OUTRAS CARGAS ;m3;751;815;0;0;0;1818;0;2341;623;0;1310;0;7658
2006;PARANÁ;REPAR;OUTRAS CARGAS ;m3;1399;6380;456;1436;15769;11825;13050;793;939;919;4375;0;57341
2006;SÃO PAULO;REVAP;OUTRAS CARGAS ;m3;25696;10231;4323;3886;11698;23966;65625;33999;18377;18104;39119;72333;327357
2006;RIO GRANDE DO NORTE;RPCC;OUTRAS CARGAS ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2006;PERNAMBUCO;RNEST;OUTRAS CARGAS ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2006;RIO DE JANEIRO;MANGUINHOS;OUTRAS CARGAS ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2006;RIO GRANDE DO SUL;RIOGRANDENSE;OUTRAS CARGAS ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2006;SÃO PAULO;UNIVEN;OUTRAS CARGAS ;m3;9590,287;9918,468;11399,71;11243,077;11243,077;7765,203;12239,43;11784,105;15037,099;15586,936;11737,535;12117,13;139662,057
2006;BAHIA;DAX OIL;OUTRAS CARGAS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;SÃO PAULO;RPBC;PETRÓLEO NACIONAL ;m3;660619;613232;776352;651716;429794;641570;767274;776308;671318;665743;551136;737713;7942775
2007;BAHIA;RLAM;PETRÓLEO NACIONAL ;m3;1327010;1100218;1258855;981844;1295700;1192226;1337342;1198951;1243283;1153676;1191863;1341433;14622401
2007;RIO DE JANEIRO;REDUC;PETRÓLEO NACIONAL ;m3;492475;537913;609130;609682;623362;616374;478580;502869;568271;594622;605693;589901;6828872
2007;MINAS GERAIS;REGAP;PETRÓLEO NACIONAL ;m3;599385;568072;657217;599673;595821;684927;702440;679656;465666;466131;660270;704040;7383298
2007;RIO GRANDE DO SUL;REFAP;PETRÓLEO NACIONAL ;m3;281943;310332;275235;214117;301920;304452;181741;258335;271748;176228;394908;208252;3179211
2007;CEARÁ;LUBNOR;PETRÓLEO NACIONAL ;m3;34462;27187;19651;27958;28287;27659;28866;29634;29267;30759;37573;36853;358156
2007;SÃO PAULO;REPLAN;PETRÓLEO NACIONAL ;m3;1014066;1076128;1265662;1460059;1350780;1268616;1509235;1440286;1377358;1358552;1401309;1397757;15919808
2007;AMAZONAS;REMAN;PETRÓLEO NACIONAL ;m3;192677;191502;217562;195515;194436;190039;195210;209251;201347;190171;193416;200560;2371686
2007;SÃO PAULO;RECAP;PETRÓLEO NACIONAL ;m3;173784;154507;168252;178484;171466;149583;177070;172248;180136;170493;173339;201102;2070464
2007;PARANÁ;REPAR;PETRÓLEO NACIONAL ;m3;595989;371946;585814;689650;483960;528312;450356;560009;541149;514842;311130;529850;6163007
2007;SÃO PAULO;REVAP;PETRÓLEO NACIONAL ;m3;910179;894805;889095;993898;853437;891764;943362;917764;902759;944036;945938;1011324;11098361
2007;RIO GRANDE DO NORTE;RPCC;PETRÓLEO NACIONAL ;m3;46237;44779;48529;44830;46372;44326;48975;49264;48610;49986;46020;42747;560675
2007;PERNAMBUCO;RNEST;PETRÓLEO NACIONAL ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;RIO DE JANEIRO;MANGUINHOS;PETRÓLEO NACIONAL ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
